b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 015\n'
b'  Variables        : 4863 (800 binary, 0 integer, 0 implicit integer, 4063 continuous)\n'
b'  Constraints      : 13353\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1188 (234 binary, 0 integer, 0 implicit integer, 954 continuous)\n'
b'  Constraints      : 1308\n'
b'Constraints        : Number\n'
b'  varbound         : 732 \n'
b'  knapsack         : 5 \n'
b'  setppc           : 65 \n'
b'  linear           : 506 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'*       0              0           1         8           4.8998                -         -\n'
b'*       0              0           1         8           2.7702                -         -\n'
b'*       2              0           1         8           2.5941                -         -\n'
b'*       2              2           1         8           2.4922           0.5406   361.04%\n'
b'*       3              2           1         8           2.4454           0.5406   352.39%\n'
b'*       5             62          61         8           2.4009           0.5406   344.15%\n'
b'        5            326         313         8           2.4009           0.5406   344.15%\n'
b'Racing ramp-up finished after 5.02 seconds. Selected strategy 7.\n'
b'       11          11593        6728         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'       16          27262       12981         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'       21          45378       17827         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'       26          65669       21764         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'       31          86493       25061         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'       36         108737       27570         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'       41         131721       30118         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'       46         155384       32214         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'       51         179456       34420         8           2.4009           0.5406    344.15%           0.5406    344.15%\n'
b'*      54         194526       35462         8           2.3910           0.5406    342.33%           0.5406    342.33%\n'
b'       56         205558       36214         8           2.3910           0.5406    342.33%           0.5406    342.33%\n'
b'*      57         214229       36564         8           2.3569           0.5406    336.01%           0.5406    336.01%\n'
b'       61         232063       37783         8           2.3569           0.5406    336.01%           0.5406    336.01%\n'
b'*      62         236712       38129         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'       66         258777       39609         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'       71         282019       41812         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'       76         305588       44129         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'       81         330852       46482         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'       86         356938       48422         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'       92         382900       50100         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'       97         410370       51733         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      102         436735       52837         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      107         462426       54203         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      112         489616       55303         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      117         517510       55994         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      122         545390       56803         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      127         573969       57204         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      132         602984       57761         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      137         631246       59223         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      142         657779       60353         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      147         685742       61866         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      152         714250       62667         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      157         739927       64256         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'      162         765400       65728         8           2.3547           0.5406    335.61%           0.5406    335.61%\n'
b'*     167         790918       67103         8           2.3033           0.5406    326.09%           0.5406    326.09%\n'
b'*     167         790918       67103         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      167         791810       67033         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      172         817606       68059         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      178         843813       68740         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      183         870104       69963         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      188         897793       70360         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      193         924469       70521         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      198         951535       70768         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      203         980159       70961         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      208        1008265       70895         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      213        1037356       70863         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      218        1066502       70310         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      223        1095928       69973         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      228        1125659       69145         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      233        1156733       68693         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      238        1186095       68963         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      243        1214115       69655         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'*     244        1218229       69597         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      248        1242548       70633         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      253        1270521       71178         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      258        1299788       71445         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      263        1328814       71838         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      268        1357369       72449         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      274        1383032       73669         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      279        1406971       75123         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      284        1431209       76865         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      289        1455724       78062         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      294        1481545       78800         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      299        1508858       79754         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      304        1535611       80012         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      309        1562877       80308         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      314        1589757       80435         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      319        1619219       80394         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      324        1648987       80627         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      329        1674709       80815         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      334        1700324       81018         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      339        1725507       81464         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      344        1752314       82263         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      349        1779914       82739         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      354        1807025       82955         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      360        1834349       83072         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      365        1862301       83275         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      370        1890551       83279         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      375        1919327       83113         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      380        1948600       83392         8           2.2587           0.5406    317.85%           0.5427    316.19%\n'
b'      385        1978595       83611         8           2.2587           0.5406    317.85%           0.5453    314.23%\n'
b'      390        2010422       83495         8           2.2587           0.5406    317.85%           0.5515    309.54%\n'
b'      395        2039840       83446         8           2.2587           0.5406    317.85%           0.5569    305.61%\n'
b'      400        2069523       83152         8           2.2587           0.5406    317.85%           0.5571    305.45%\n'
b'      405        2096617       83170         8           2.2587           0.5406    317.85%           0.5613    302.41%\n'
b'      410        2125695       82515         8           2.2587           0.5406    317.85%           0.5620    301.93%\n'
b'      415        2153655       82841         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      420        2179092       83935         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      425        2205787       85362         8           2.2587           0.5406    317.85%           0.5406    317.85%\n'
b'      430        2232104       86174         8           2.2587           0.5406    317.85%           0.5711    295.50%\n'
b'      435        2260055       86613         8           2.2587           0.5406    317.85%           0.5715    295.21%\n'
b'      440        2286740       87324         8           2.2587           0.5406    317.85%           0.5725    294.54%\n'
b'      445        2314838       88026         8           2.2587           0.5406    317.85%           0.5793    289.94%\n'
