b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 021\n'
b'  Variables        : 4863 (800 binary, 0 integer, 0 implicit integer, 4063 continuous)\n'
b'  Constraints      : 13369\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1181 (218 binary, 0 integer, 0 implicit integer, 963 continuous)\n'
b'  Constraints      : 1300\n'
b'Constraints        : Number\n'
b'  varbound         : 821 \n'
b'  knapsack         : 4 \n'
b'  setppc           : 49 \n'
b'  linear           : 426 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'*       0              0           1         8           5.4479                -         -\n'
b'*       0              0           1         8           5.0064                -         -\n'
b'*       3              0           1         8           4.9407                -         -\n'
b'*       3              0           1         8           4.2570                -         -\n'
b'*       5             56          55         8           3.9891           0.1596         -\n'
b'        5             56          55         8           3.9891           0.1596         -\n'
b'*       5             56          55         8           2.6542           0.1596         -\n'
b'       10             10           9         8           2.6542           0.2226         -\n'
b'*      12             22          21         8           2.6467           0.2226         -\n'
b'       15            292         268         8           2.6467           0.2287         -\n'
b'Racing ramp-up finished after 15.9100 seconds. Selected strategy 2.\n'
b'       20           4051        2045         8           2.6467           0.2288         -           0.2288         -\n'
b'       26          19320        7143         8           2.6467           0.2314         -           0.2314         -\n'
b'       31          40706       12932         8           2.6467           0.2316         -           0.2993         -\n'
b'       36          65857       17993         8           2.6467           0.2316         -           0.3080         -\n'
b'       41          91046       22009         8           2.6467           0.2316         -           0.3241         -\n'
b'       46         118409       25250         8           2.6467           0.2316         -           0.3340         -\n'
b'       51         147719       27992         8           2.6467           0.2316         -           0.3436         -\n'
b'       56         174063       30726         8           2.6467           0.2329         -           0.2473         -\n'
b'       61         202992       34485         8           2.6467           0.2329         -           0.3828         -\n'
b'       66         228455       37510         8           2.6467           0.2329         -           0.2329         -\n'
b'       71         251644       40743         8           2.6467           0.2352         -           0.4248         -\n'
b'       76         278854       44394         8           2.6467           0.2352         -           0.4353         -\n'
b'       81         306227       47516         8           2.6467           0.2352         -           0.4476    491.24%\n'
b'       86         334733       50184         8           2.6467           0.2352         -           0.4577    478.29%\n'
b'       91         363293       52264         8           2.6467           0.2352         -           0.2352         -\n'
b'       96         388859       54807         8           2.6467           0.2352         -           0.2352         -\n'
b'      101         414831       56913         8           2.6467           0.2352         -           0.2352         -\n'
b'      106         440997       58893         8           2.6467           0.2411         -           0.2411         -\n'
b'      112         467887       60950         8           2.6467           0.2419         -           0.2419         -\n'
b'      117         494086       62977         8           2.6467           0.2419         -           0.4728    459.75%\n'
b'      122         523965       64542         8           2.6467           0.2419         -           0.4728    459.75%\n'
b'      127         554908       65993         8           2.6467           0.2419         -           0.4728    459.75%\n'
b'      132         586223       67004         8           2.6467           0.2419         -           0.4778    453.91%\n'
b'      137         617082       67855         8           2.6467           0.2419         -           0.2419         -\n'
b'      142         644308       68995         8           2.6467           0.2437         -           0.2437         -\n'
b'      147         670940       69918         8           2.6467           0.2450         -           0.2450         -\n'
b'      152         699598       71171         8           2.6467           0.2450         -           0.2450         -\n'
b'      157         727464       71923         8           2.6467           0.2450         -           0.2450         -\n'
b'      162         753842       72698         8           2.6467           0.2450         -           0.2450         -\n'
b'      167         780359       73356         8           2.6467           0.2450         -           0.2450         -\n'
b'      172         809015       73926         8           2.6467           0.2450         -           0.2450         -\n'
b'      177         836835       74378         8           2.6467           0.2450         -           0.2450         -\n'
b'      182         864490       74653         8           2.6467           0.2450         -           0.2450         -\n'
b'      187         892502       75051         8           2.6467           0.3082         -           0.3082         -\n'
b'      192         921410       75788         8           2.6467           0.3082         -           0.3082         -\n'
b'      197         950218       76448         8           2.6467           0.3646         -           0.3646         -\n'
b'      202         978113       76899         8           2.6467           0.3646         -           0.3646         -\n'
b'      207        1004987       77421         8           2.6467           0.3646         -           0.5651    368.40%\n'
b'      213        1031361       77631         8           2.6467           0.3830         -           0.3830         -\n'
b'      218        1054763       78027         8           2.6467           0.3854         -           0.3854         -\n'
b'      223        1078512       78358         8           2.6467           0.3854         -           0.3854         -\n'
b'      228        1104331       79090         8           2.6467           0.3854         -           0.3854         -\n'
b'      233        1129285       79868         8           2.6467           0.5742    360.95%           0.5742    360.95%\n'
b'      238        1156764       81235         8           2.6467           0.5843    352.98%           0.5843    352.98%\n'
b'      243        1187447       82410         8           2.6467           0.5863    351.42%           0.5863    351.42%\n'
b'      248        1217841       83286         8           2.6467           0.5863    351.42%           0.5863    351.42%\n'
b'      253        1248204       83721         8           2.6467           0.5871    350.82%           0.5871    350.82%\n'
b'      258        1280319       83818         8           2.6467           0.5934    346.05%           0.5934    346.05%\n'
b'      263        1312745       83468         8           2.6467           0.5995    341.46%           0.5995    341.46%\n'
b'      268        1344169       83276         8           2.6467           0.6078    335.45%           0.6078    335.45%\n'
b'      273        1375471       83770         8           2.6467           0.6195    327.23%           0.6195    327.23%\n'
b'      278        1408455       83294         8           2.6467           0.6286    321.05%           0.6286    321.05%\n'
b'      283        1436126       84350         8           2.6467           0.6327    318.31%           0.6327    318.31%\n'
b'      288        1465678       85850         8           2.6467           0.6400    313.53%           0.6400    313.53%\n'
b'      293        1496805       86646         8           2.6467           0.6400    313.53%           0.6400    313.53%\n'
b'      298        1528016       86934         8           2.6467           0.6400    313.53%           0.6400    313.53%\n'
b'      303        1561216       86778         8           2.6467           0.6400    313.53%           0.6400    313.53%\n'
b'      308        1595085       85838         8           2.6467           0.6400    313.53%           0.6400    313.53%\n'
b'      314        1625668       85671         8           2.6467           0.6431    311.53%           0.6431    311.53%\n'
b'      319        1653501       86416         8           2.6467           0.6431    311.53%           0.6431    311.53%\n'
b'      324        1681291       87041         8           2.6467           0.6431    311.53%           0.6431    311.53%\n'
b'      329        1707898       87513         8           2.6467           0.6431    311.53%           0.6431    311.53%\n'
b'      334        1739294       87915         8           2.6467           0.6431    311.53%           0.6431    311.53%\n'
b'      339        1770032       87651         8           2.6467           0.6487    307.98%           0.6487    307.98%\n'
b'      344        1795690       87373         8           2.6467           0.6563    303.26%           0.6563    303.26%\n'
b'      349        1824293       87098         8           2.6467           0.6617    299.99%           0.6617    299.99%\n'
b'      354        1851293       86687         8           2.6467           0.6654    297.76%           0.6654    297.76%\n'
b'      359        1873433       87641         8           2.6467           0.6719    293.94%           0.6719    293.94%\n'
b'      364        1896453       88408         8           2.6467           0.6765    291.23%           0.6765    291.23%\n'
b'      369        1924731       89158         8           2.6467           0.6841    286.88%           0.6841    286.88%\n'
b'      374        1952869       90198         8           2.6467           0.6865    285.53%           0.6865    285.53%\n'
b'      379        1975969       90624         8           2.6467           0.6912    282.92%           0.6912    282.92%\n'
b'      384        2004420       90899         8           2.6467           0.6955    280.57%           0.6955    280.57%\n'
b'      389        2035668       91051         8           2.6467           0.7000    278.08%           0.7000    278.08%\n'
b'      394        2061411       91051         8           2.6467           0.7054    275.19%           0.7054    275.19%\n'
b'      399        2090151       91319         8           2.6467           0.7102    272.66%           0.7102    272.66%\n'
b'      404        2122741       90879         8           2.6467           0.7109    272.32%           0.7109    272.32%\n'
b'      409        2153956       90713         8           2.6467           0.7182    268.50%           0.7182    268.50%\n'
b'      415        2184149       90414         8           2.6467           0.7182    268.50%           0.7182    268.50%\n'
b'      420        2216328       89817         8           2.6467           0.7182    268.50%           0.7182    268.50%\n'
b'      425        2246937       88807         8           2.6467           0.7182    268.50%           0.7182    268.50%\n'
b'      430        2274480       88446         8           2.6467           0.7182    268.50%           0.7182    268.50%\n'
b'      435        2305523       88165         8           2.6467           0.7216    266.77%           0.7216    266.77%\n'
b'      440        2330295       87987         8           2.6467           0.7272    263.96%           0.7272    263.96%\n'
b'      445        2360313       88239         8           2.6467           0.7272    263.96%           0.7272    263.96%\n'
b'      450        2389371       87970         8           2.6467           0.7272    263.96%           0.7272    263.96%\n'
b'      455        2419053       87615         8           2.6467           0.7272    263.96%           0.7272    263.96%\n'
b'      460        2451088       87075         8           2.6467           0.7272    263.96%           0.7272    263.96%\n'
b'      465        2485712       86031         8           2.6467           0.7274    263.87%           0.7274    263.87%\n'
b'      470        2519009       84920         8           2.6467           0.7331    261.03%           0.7331    261.03%\n'
b'      475        2550095       84662         8           2.6467           0.7373    258.95%           0.7373    258.95%\n'
b'      480        2580987       84202         8           2.6467           0.7414    256.99%           0.7414    256.99%\n'
b'      485        2612419       84227         8           2.6467           0.7459    254.86%           0.7459    254.86%\n'
b'      490        2643574       84126         8           2.6467           0.7473    254.17%           0.7473    254.17%\n'
b'      495        2675653       83586         8           2.6467           0.7512    252.34%           0.7512    252.34%\n'
b'      500        2707647       82985         8           2.6467           0.7556    250.29%           0.7556    250.29%\n'
b'      506        2738668       82243         8           2.6467           0.7607    247.91%           0.7607    247.91%\n'
b'      511        2768540       82019         8           2.6467           0.7658    245.62%           0.7658    245.62%\n'
b'      516        2800739       81242         8           2.6467           0.7700    243.73%           0.7700    243.73%\n'
b'      521        2830769       80868         8           2.6467           0.7744    241.79%           0.7744    241.79%\n'
b'      526        2860269       80055         8           2.6467           0.7770    240.62%           0.7770    240.62%\n'
b'      531        2885872       79806         8           2.6467           0.7779    240.25%           0.7779    240.25%\n'
b'      536        2914137       79825         8           2.6467           0.7787    239.87%           0.7787    239.87%\n'
b'      541        2939703       80299         8           2.6467           0.7814    238.72%           0.7814    238.72%\n'
b'      546        2967900       80904         8           2.6467           0.7829    238.05%           0.7829    238.05%\n'
b'      551        2995663       80704         8           2.6467           0.7847    237.27%           0.7847    237.27%\n'
b'      556        3022470       81051         8           2.6467           0.7878    235.98%           0.7878    235.98%\n'
b'      561        3051194       81024         8           2.6467           0.7925    233.97%           0.7925    233.97%\n'
